,CityID,pic
65,g44926,"url(""https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/cd/4b/d3/steak-n-shake.jpg?w=300&h=300&s=1"")"
66,g44926,"url(""https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/ee/c5/51/firehouse-subs.jpg?w=300&h=400&s=1"")"
67,g44926,"url(""https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/fe/b9/39/20190104-195140-largejpg.jpg?w=300&h=300&s=1"")"
68,g44926,"url(""https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/c3/d8/37/pappo-s-pizzeria.jpg?w=300&h=300&s=1"")"
69,g44926,"url(""https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/20/9a/b0/big-screen-in-bar.jpg?w=300&h=300&s=1"")"
70,g44926,"url(""https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/9d/f7/c2/cafe-cusco-springfield.jpg?w=300&h=300&s=1"")"
71,g44926,"url(""https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/67/a9/20/fresh-smoked-central.jpg?w=300&h=300&s=1"")"
72,g44926,"url(""https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/be/40/8c/fire-ice-filet.jpg?w=300&h=300&s=1"")"
73,g44926,"url(""https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/bc/87/dd/exterior.jpg?w=300&h=300&s=1"")"
74,g44926,"url(""https://dynamic-media-cdn.tripadvisor.com/media/photo-s/02/73/98/fc/filename-ph-jpg-thumbnail0.jpg?w=300&h=300&s=1"")"
75,g44926,"url(""https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/a0/e9/4c/bambinos-cafe.jpg?w=300&h=300&s=1"")"
76,g44926,"url(""https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/37/48/c2/gilardi-s-ristorante.jpg?w=300&h=300&s=1"")"
77,g44926,"url(""https://media-cdn.tripadvisor.com/media/photo-s/10/61/cd/23/go-back-in-time-at-pythian.jpg"")"
